"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 00:00","2012","12","01","00:00","-10.8","","-16.2","","64","","","","5","","9","","25.0","","103.26","","","","-16","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 01:00","2012","12","01","01:00","-11.0","","-16.5","","64","","","","5","","13","","25.0","","103.25","","","","-17","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 02:00","2012","12","01","02:00","-11.1","","-16.5","","64","","","","5","","20","","25.0","","103.21","","","","-19","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 03:00","2012","12","01","03:00","-12.5","","-15.7","","77","","","","36","","15","","25.0","","103.27","","","","-20","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 04:00","2012","12","01","04:00","-11.8","","-15.1","","76","","","","2","","17","","25.0","","103.22","","","","-19","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 05:00","2012","12","01","05:00","-11.9","","-14.6","","80","","","","2","","20","","25.0","","103.19","","","","-20","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 06:00","2012","12","01","06:00","-11.8","","-15.0","","77","","","","3","","26","","25.0","","103.18","","","","-21","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 07:00","2012","12","01","07:00","-11.3","","-14.2","","79","","","","4","","24","","24.1","","103.19","","","","-20","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 08:00","2012","12","01","08:00","-10.9","","-15.3","","70","","","","3","","19","","24.1","","103.23","","","","-19","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 09:00","2012","12","01","09:00","-10.6","","-15.9","","65","","","","5","","24","","24.1","","103.18","","","","-19","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 10:00","2012","12","01","10:00","-10.9","","-15.7","","68","","","","5","","24","","24.1","","103.18","","","","-20","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 11:00","2012","12","01","11:00","-10.3","","-15.1","","68","","","","5","","20","","24.1","","103.08","","","","-18","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 12:00","2012","12","01","12:00","-9.4","","-14.6","","66","","","","3","","24","","24.1","","102.97","","","","-18","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 13:00","2012","12","01","13:00","-8.9","","-14.6","","63","","","","3","","22","","24.1","","102.90","","","","-17","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-12-01 14:00","2012","12","01","14:00","-8.3","","-13.6","","66","","","","2","","22","","24.1","","102.86","","","","-16","","Cloudy"
